,overall,reviewTime,reviewText
179,1.0,2006,This China Silk Black Balaclava is great for keeping you warm. I love it!
180,1.0,2004,"This item is very lightweight (as you'd expect from silk underwear).  While we were using it under a costume, rather than for winter warmth, the several people using it all said it was very comfortable and not too hot inside the costume."
191,1.0,2006,"This item came in only 2 days and in perfect condition! It is a very nice ring - shiny, smooth nice weight/width!  Very impressed."
192,1.0,2006,"This ring was well worth the price. It has a lovely shine and fits true to size. It is a very light, thin ring, so it you want something heavy with a thicker consistency to the metal, this may not be for you but as I said it is well worth the price! I'm very pleased."
193,1.0,2006,"It was exactly as described.  Beautiful ring, perfect fit, classy finish.  I know I would have probably paid double the price or more had I attempted to purchase similar from a jewelry store"
194,1.0,2005,"This is a nice ring.  It is simple and elegant.  The price was quite reasonable, when compared to other stores that I searched.  I reccomend this ring as a wedding ring for a young couple just starting out.  It would be great for a college student's budget."
195,1.0,2005,it is a beautiful ring. very shiny and classy. my boyfriend loves wearing it.
196,1.0,2004,"When I first saw this offer last year, I couldn't believe it was genuine. I was used to paying $10 to $15 a pair for wool socks. When they arrived, I still found it hard to believe. But these are excellent quality socks that have held up well through heavy use and lots of washings. The three pair are serving well alongside their far more expensive drawer-mates. It's hard to imagine someone getting excited by a pair of socks, but these are worth getting excited about. I agree that a color other than gray would help to stretch these socks further in my wardrobe, but for the price... I ain't complainin'!"
197,1.0,2004,"Socks seem like a strange kind of thing on which to write a review, but these socks are special. I placed an order for a friend of mine who runs a soup kitchen in Poplar Bluff Missouri. It was an order of about 60 pairs of these socks which probably seemed pretty strange to the people at Sportsman's Guide, but they sent them anyway. I didn't think much about it until I got an e-mail from Joni, the lady in Poplar Bluff, that the socks had arrived.
She told me that you would think that the socks were made of gold the way the people at her free store responded to them. They had NEVER seen such socks!! They were soft and they were thick and warm. Most of them had never even heard of wool socks.
Now I don't think twice about wool socks because I love them but it gave me real pause to think that there were people who had never even heard of such a wonderful thing. These people couldn't believe that someone would just give them something this good. Yes, this good.
So if you're thinking of buying some of these why don't you get an extra pair or two and give them to someone who needs them. It will be an education, I promise, and your gift will reward you many times over when you experience the gratitude such a small thing can evoke."
198,1.0,2003,"I ordered these socks for my Mother's birthday and she absolutely loves them. They are thick and warm, perfect for cold Indiana winters.  Thank you."
199,0.0,2003,"I like the thicknesss of the socks and because of this, I know they'll be warm enough for anything that the snow has to offer. I would really like these socks if they came in a variety of colors; grey is not a very exciting color, however; as long as you're warm, who cares about excitement."
205,1.0,2006,"I have only owned these earrings a few weeks, but I'm quite pleased with them.  Before buying these, I had been completely unable to wear earrings for many years.  My earlobes would swell, turn red, and bleed immediately after inserting even ""hypoallergenic"" earrings.  I've tried other brands, such as Simply Whispers, which I really wanted to love, but I simply couldn't wear them.  I'd given up and given away most of my earrings and hadn't bought or tried any earrings for a few years.

When these first arrived, I had trouble inserting them because my earlobes had almost grown closed, and I traumatized my ears a bit.  Over the next several days, I removed them at night, then irritated my ears again when I reinserted them in the morning.  Finally, I decided to just leave them in and allow my ears to heal, and that has worked just fine.  Now my ears have healed, and I haven't bothered to remove the earrings for a couple of weeks.

I noticed that in a review for one of the other styles, the reviewer had two complaints: that the ad appeared misleading in that it looked like you were purchasing three pairs of earrings, and that the 3mm size was tiny.  So take note:  you are ordering just one pair of earrings, and the 3mm (mini) size earrings are very small - take a look at a ruler to get an idea - but they provide an understated bit of sparkle.

I highly recommend these for people with metal allergies - I'm planning to get another pair."
